Nome;Squadra;Qt.A;FVM M;RM;Pv(2024);Fm(2024);Gf(2024);Pv(2023);Fm(2023);Gf(2023);Ass(2023);Amm(2023);Esp(2023)
Frattesi;Inter;18;30;"C;T";2;6,75;0;28;7;6;3;1;0
Loftus-Cheek;Milan;18;26;"C;T";3;5,67;0;29;6,69;6;1;5;0
Ferguson;Bologna;17;21;"C;T";0;0;0;31;6,94;6;3;8;0
McTominay;Napoli;16;35;"M;C";0;0;0;NP;NP;NP;NP;NP;NP
Samardzic;Atalanta;16;29;T;2;5,75;0;33;6,74;6;2;3;0
Mkhitaryan;Inter;15;22;C;3;6,33;0;36;6,68;2;6;4;0
Ederson D.s.;Atalanta;15;34;"M;C";3;5,83;0;36;6,56;6;1;8;0
Pasalic;Atalanta;14;26;"C;T";3;4,83;0;33;6,89;6;6;3;0
Vlasic;Torino;14;20;T;0;0;0;33;6,3;3;2;3;0
Fabbian;Bologna;14;27;"C;T";2;8;1;22;6,86;5;1;4;0
Bernabe';Parma;14;22;"C;T";3;6,33;0;NP;NP;NP;NP;NP;NP
Harroui;Verona;13;18;"W;T";3;5,83;0;17;6,79;3;3;2;0
Suslov;Verona;13;19;"W;T";3;5,83;0;30;6,47;3;5;7;0
Zaniolo;Atalanta;12;14;"T;A";1;5;0;NP;NP;NP;NP;NP;NP
Strefezza;Como;12;15;W;3;6,17;0;19;5,87;1;0;4;0
Da Cunha;Como;12;15;"W;T";3;5,83;0;NP;NP;NP;NP;NP;NP
Reijnders;Milan;12;14;C;3;5,83;0;36;6,38;3;4;8;0
Lazovic;Verona;11;10;W;3;7,17;0;31;6,19;3;2;0;1
Pessina;Monza;11;21;"M;C";3;5,5;0;37;6,46;6;2;3;1
Zambo Anguissa;Napoli;11;13;"M;C";3;6,83;1;33;5,85;0;2;2;0
Malinovskyi;Genoa;11;13;"C;T";3;6;0;23;6,63;4;1;7;0
Frendrup;Genoa;11;20;"E;M";3;6;0;37;6,42;2;4;6;0
Conceicao;Juventus;11;11;"W;A";1;5,5;0;NP;NP;NP;NP;NP;NP
Zielinski;Inter;10;13;"C;T";0;0;0;27;6,33;3;2;1;0
Cristante;Roma;10;11;"M;C";3;6,17;0;37;6,35;3;4;8;0
Freuler;Bologna;10;11;"M;C";3;6,17;0;32;6,06;1;0;9;0
Fagioli;Juventus;10;9;"C;T";3;5,67;0;8;6,25;0;2;1;0
Chukwueze;Milan;10;18;"W;A";2;5,5;0;20;6,25;1;2;1;0
Maldini;Monza;10;15;"T;A";3;7;1;16;6,97;4;1;1;0
Messias;Genoa;10;13;"C;W";3;6,17;1;17;6,35;1;0;0;0
Thuram K.;Juventus;10;15;"M;C";1;6,5;0;NP;NP;NP;NP;NP;NP
Ndoye;Bologna;10;11;W;2;6;0;31;6,08;1;1;4;0
Aebischer;Bologna;10;10;"C;T";3;5,83;0;31;5,9;0;1;8;0
Lovric;Udinese;10;12;C;3;5,67;0;29;6,09;1;2;1;1
Le Fee;Roma;10;11;"C;T";2;6;0;NP;NP;NP;NP;NP;NP
Locatelli;Juventus;9;13;"M;C";3;6,33;0;35;5,94;1;4;6;0
Guendouzi;Lazio;9;8;C;3;5,5;0;33;6,21;2;3;3;1
Lobotka;Napoli;9;10;"M;C";3;5,5;0;38;5,91;0;1;4;0
Zurkowski;Empoli;9;12;"C;T";0;0;0;13;6,81;4;0;4;0
Castrovilli;Lazio;9;9;"C;T";0;0;0;5;7,3;1;2;0;0
Gyasi;Empoli;9;12;W;3;8,5;2;29;5,69;1;2;9;0
Ilic;Torino;9;14;C;3;7,5;1;28;6,38;3;1;3;0
Ricci S.;Torino;9;11;"M;C";3;6,17;0;30;5,87;1;0;6;1
Baldanzi;Roma;9;10;"T;A";2;6,75;0;24;6,27;2;0;3;0
Oristanio;Venezia;9;13;"W;T;A";3;5,5;0;24;6,38;2;1;1;0
Tete Morente;Lecce;9;8;W;3;5,67;0;NP;NP;NP;NP;NP;NP
Verdi;Como;8;10;"W;T";1;5;0;0;0;0;0;0;0
Duncan;Venezia;8;8;C;3;5,83;0;26;6,46;2;5;2;0
Sottil;Fiorentina;8;10;W;1;5,5;0;18;6,44;2;3;1;0
Gaetano;Cagliari;8;18;T;0;0;0;17;6,88;5;0;2;1
Kone' M.;Roma;8;10;"M;C";1;6;0;NP;NP;NP;NP;NP;NP
Tchaouna;Lazio;8;10;W;2;5,5;0;29;6,52;4;3;4;0
Richardson;Fiorentina;8;9;"M;C";1;6;0;NP;NP;NP;NP;NP;NP
De Roon;Atalanta;7;9;"M;C";3;5,33;0;30;5,97;0;5;10;0
Badelj;Genoa;7;5;"M;C";3;6,33;0;32;6,14;1;3;6;0
Vecino;Lazio;7;9;"M;C";2;5,75;0;25;6,78;6;1;8;0
El Shaarawy;Roma;7;9;W;0;0;0;29;6,4;3;2;2;0
Mandragora;Fiorentina;7;9;"M;C";2;5,25;0;30;6,28;3;3;5;0
Mazzitelli;Como;7;10;"M;C";2;5,5;0;29;6,52;5;0;4;1
Bennacer;Milan;7;9;"M;C";1;6,5;0;18;6,47;2;2;2;0
Duda;Verona;7;10;"M;C";3;6;0;32;5,98;1;5;10;2
Rovella;Lazio;7;6;"M;C";2;5,75;0;21;6,07;0;2;6;0
Fofana Y.;Milan;7;11;"M;C";2;5,25;0;NP;NP;NP;NP;NP;NP
Brescianini;Atalanta;7;24;"M;C";3;8,33;2;35;6,44;4;1;1;0
McKennie;Juventus;7;7;"M;C";1;6;0;33;6,32;0;7;6;0
Gilmour;Napoli;7;7;"M;C";0;0;0;NP;NP;NP;NP;NP;NP
Sohm;Parma;7;7;C;3;6,33;0;NP;NP;NP;NP;NP;NP
Oudin;Lecce;7;9;"W;T";1;6,5;0;31;6,48;3;2;3;0
Payero;Udinese;7;5;C;3;5,33;0;28;6,02;2;2;6;1
Marchwinski;Lecce;7;7;T;0;0;0;NP;NP;NP;NP;NP;NP
Ekkelenkamp;Udinese;7;6;"C;T";3;6;0;NP;NP;NP;NP;NP;NP
Paz N.;Como;7;11;"T;A";2;6,25;0;NP;NP;NP;NP;NP;NP
Paredes;Roma;6;9;"M;C";1;4;0;34;6,13;3;4;14;1
Sensi;Monza;6;8;"C;T";0;0;0;1;6,5;0;0;0;0
Ikone';Fiorentina;6;7;W;2;6;0;26;6,08;3;1;5;0
Weah;Juventus;6;10;W;1;10;1;25;5,86;0;1;5;0
Tameze;Torino;6;6;"M;C";3;5,83;0;28;5,73;0;2;6;1
Marin;Cagliari;6;13;"M;C";3;5,5;0;28;6,02;0;2;3;0
Busio;Venezia;6;7;C;0;0;0;NP;NP;NP;NP;NP;NP
Adli;Fiorentina;6;9;"M;C";1;7,5;0;21;6,14;1;2;3;0
Fazzini;Empoli;6;12;"C;T";3;6,5;0;25;5,96;1;1;6;0
Iling Junior;Bologna;6;6;W;0;0;0;20;6,2;1;2;1;0
Folorunsho;Napoli;6;8;"C;T";0;0;0;33;6,41;5;1;5;0
Ramadani;Lecce;6;6;"M;C";3;6,17;0;34;5,72;1;0;13;0
Karlsson;Bologna;6;8;"W;A";2;5,5;0;NP;NP;NP;NP;NP;NP
Dele-Bashiru;Lazio;6;11;"C;T";2;6,5;0;NP;NP;NP;NP;NP;NP
Karlstrom;Udinese;6;4;"M;C";3;6,17;0;NP;NP;NP;NP;NP;NP
Keita M.;Parma;6;7;"M;C";0;0;0;NP;NP;NP;NP;NP;NP
Viola;Cagliari;5;7;"C;T";1;5,5;0;25;6,7;5;2;3;0
Gagliardini;Monza;5;6;"M;C";3;5,33;0;32;5,92;1;1;5;0
Kastanos;Verona;5;4;"C;T";2;6,25;0;24;6,29;3;0;5;0
Barak;Fiorentina;5;6;T;1;5,5;0;13;6,62;2;2;2;0
Valoti;Monza;5;7;"C;T";0;0;0;0;0;0;0;0;0
Thorsby;Genoa;5;4;C;3;5,17;0;21;6,31;2;2;2;0
Hernani;Parma;5;5;C;0;0;0;NP;NP;NP;NP;NP;NP
Henderson L.;Empoli;5;4;"C;T";3;6,17;0;0;0;0;0;0;0
Musah;Milan;5;5;"C;W";3;6,33;0;25;5,86;0;1;5;0
Bove;Fiorentina;5;7;"M;C";1;6;0;28;5,96;0;1;2;0
Coulibaly L.;Lecce;5;5;"M;C";2;5,5;0;27;5,65;0;0;5;0
Asllani;Inter;5;9;"M;C";1;6;0;16;6,5;1;2;1;0
Bondo;Monza;5;3;"M;C";3;6,17;0;25;5,78;1;0;9;0
Perrone;Como;5;4;"M;C";2;6;0;NP;NP;NP;NP;NP;NP
Forson O.;Monza;5;7;"W;T";0;0;0;NP;NP;NP;NP;NP;NP
Felici;Cagliari;5;8;"E;W";1;6;0;NP;NP;NP;NP;NP;NP
Fadera;Como;5;6;"W;A";1;5,5;0;NP;NP;NP;NP;NP;NP
Deiola;Cagliari;4;4;"M;C";3;5,67;0;22;5,59;1;0;7;0
Linetty;Torino;4;4;"M;C";3;5,67;0;26;5,69;0;0;12;0
Saelemaekers;Roma;4;12;W;2;5;0;30;6,47;4;3;5;1
Estevez;Parma;4;6;"M;C";2;5,5;0;NP;NP;NP;NP;NP;NP
Zalewski;Roma;4;4;W;3;6;0;22;5,77;0;1;1;1
Urbanski;Bologna;4;6;"C;W;T";0;0;0;18;5,83;0;0;3;0
Maleh;Empoli;4;4;C;3;5,83;0;34;5,66;0;1;11;0
Ciurria;Monza;4;5;"E;W";0;0;0;22;5,86;0;1;2;0
Ellertsson;Venezia;4;6;"C;W";3;6,5;0;NP;NP;NP;NP;NP;NP
Rafia;Lecce;4;4;"C;T";2;5,25;0;24;5,88;1;0;4;0
Prati;Cagliari;4;7;"M;C";3;5,67;0;26;6;1;1;4;0
Serdar;Verona;4;6;"M;C";1;5,5;0;23;5,96;0;1;7;0
Pierret;Lecce;4;5;"M;C";3;5,83;0;NP;NP;NP;NP;NP;NP
Andersen M.k.;Venezia;4;7;"M;C";2;7,5;1;NP;NP;NP;NP;NP;NP
Grassi;Empoli;3;3;"M;C";1;6;0;26;5,77;0;1;4;1
Cataldi;Fiorentina;3;4;"M;C";1;5,5;0;22;5,95;1;0;8;0
Baselli;Como;3;5;"M;C";1;6;0;NP;NP;NP;NP;NP;NP
Haas;Empoli;3;2;"M;C";2;6;0;1;5;0;0;1;0
Nicolussi Caviglia;Venezia;3;3;"M;C";2;6,5;0;6;6;0;1;1;0
Kostic;Juventus;3;3;"E;W";0;0;0;29;5,98;0;3;2;0
Adopo;Cagliari;3;2;"M;C";2;6;0;4;6;0;1;0;0
Bjarkason;Venezia;3;3;"C;W";0;0;0;NP;NP;NP;NP;NP;NP
Miretti;Genoa;3;9;"C;T";0;0;0;20;5,9;1;1;3;0
Vignato S.;Monza;3;2;"T;A";3;5,67;0;8;6,25;1;0;2;0
Alidou;Verona;3;3;W;1;5,5;0;NP;NP;NP;NP;NP;NP
Moro N.;Bologna;3;5;"M;C";3;5,67;0;17;6,21;1;0;0;0
Gineitis;Torino;3;5;C;0;0;0;10;5,95;0;0;2;0
Zarraga;Udinese;3;4;"M;C";1;6;0;7;6,93;2;0;0;0
El Azzouzi;Bologna;3;4;"M;C";0;0;0;9;6,83;2;2;4;0
Makoumbou;Cagliari;3;4;"M;C";0;0;0;32;5,61;1;0;3;2
Braunoder;Como;3;5;"M;C";2;5,5;0;NP;NP;NP;NP;NP;NP
Engelhardt;Como;3;5;"M;C";1;4,5;0;NP;NP;NP;NP;NP;NP
Rui Modesto;Udinese;3;5;"E;W";0;0;0;NP;NP;NP;NP;NP;NP
Yeboah J.;Venezia;3;4;"W;T";0;0;0;NP;NP;NP;NP;NP;NP
Jankto;Cagliari;2;4;"E;C";0;0;0;16;6,16;1;2;0;0
Cyprien;Parma;2;1;"M;C";2;5,75;0;NP;NP;NP;NP;NP;NP
Bianco;Monza;2;1;"M;C";1;6;0;NP;NP;NP;NP;NP;NP
Pisilli;Roma;2;1;C;1;6;0;0;0;0;0;0;0
Belahyane;Verona;2;3;"M;C";3;5,67;0;2;6,25;0;0;0;0
Dani Silva;Verona;2;3;"M;C";0;0;0;9;5,72;0;0;2;0
Mitrovic S.;Verona;2;3;W;0;0;0;10;5,9;0;0;0;0
Doumbia I.;Venezia;2;1;"M;C";1;5,5;0;NP;NP;NP;NP;NP;NP
Anjorin;Empoli;2;2;"W;T";0;0;0;NP;NP;NP;NP;NP;NP
Akpa Akpro;Lazio;1;1;"M;C";0;0;0;14;5,64;0;0;5;0
Pobega;Bologna;1;7;"M;C";0;0;0;7;5,93;0;0;0;0
Camara D.;Parma;1;1;"C;T";1;6;0;NP;NP;NP;NP;NP;NP
Crnigoj;Venezia;1;1;C;1;6;0;NP;NP;NP;NP;NP;NP
Kone B.;Como;1;1;"M;C";0;0;0;NP;NP;NP;NP;NP;NP
Bohinen;Genoa;1;1;"M;C";0;0;0;14;5,82;0;0;1;0
Zerbin;Napoli;1;2;"E;W";0;0;0;16;5,78;0;1;0;1
BERISHA M.;Lecce;1;1;"C;T";0;0;0;NP;NP;NP;NP;NP;NP
Sulemana I.;Atalanta;1;3;"M;C";0;0;0;19;6,13;2;0;4;0
Belardinelli;Empoli;1;1;"M;C";0;0;0;0;0;0;0;0;0
Kaba;Lecce;1;1;"M;C";0;0;0;22;5,73;0;0;2;1
Zeroli;Milan;1;1;"C;T";0;0;0;NP;NP;NP;NP;NP;NP
Buchanan T.;Inter;1;1;"E;W";0;0;0;NP;NP;NP;NP;NP;NP
Adzic;Juventus;1;1;T;0;0;0;NP;NP;NP;NP;NP;NP
Liberali;Milan;1;1;"W;T";0;0;0;NP;NP;NP;NP;NP;NP
Cassa;Atalanta;1;1;C;1;6;0;NP;NP;NP;NP;NP;NP
Byar;Bologna;1;1;"C;T";0;0;0;NP;NP;NP;NP;NP;NP
Manzoni;Atalanta;1;1;"C;T";0;0;0;NP;NP;NP;NP;NP;NP
Vos;Milan;1;1;"M;C";0;0;0;NP;NP;NP;NP;NP;NP
Hasa;Lecce;1;1;"C;T";0;0;0;NP;NP;NP;NP;NP;NP
Atta;Udinese;1;1;"M;C";0;0;0;NP;NP;NP;NP;NP;NP
Martinez L.;Inter;38;201;Pc;2;5,75;0;33;8,73;24;2;5;0
Vlahovic;Juventus;37;190;Pc;3;8,5;2;33;7,42;16;3;6;1
Lukaku;Napoli;34;178;Pc;1;10;1;32;7,2;13;3;5;1
Thuram;Inter;34;150;Pc;3;11,17;4;35;7,81;13;7;3;0
Osimhen;Napoli;33;78;Pc;0;0;0;25;7,88;15;2;4;1
Dybala;Roma;32;134;A;3;5,83;0;27;8,2;13;9;3;0
Dovbyk;Roma;30;113;Pc;3;5,33;0;NP;NP;NP;NP;NP;NP
Kvaratskhelia;Napoli;29;131;A;3;7,83;1;34;7,25;11;5;8;0
Scamacca;Atalanta;26;70;Pc;0;0;0;28;7,89;12;6;1;0
Lookman;Atalanta;26;111;A;0;0;0;30;7,63;11;7;4;0
Morata;Milan;25;90;Pc;1;9;1;NP;NP;NP;NP;NP;NP
Zapata D.;Torino;25;85;Pc;3;7,5;1;37;7,36;13;3;2;0
Leao;Milan;25;109;A;3;7,33;1;NP;NP;NP;NP;NP;NP
Gudmundsson A.;Fiorentina;25;81;A;0;0;0;35;7,64;14;4;4;0
Gonzalez N.;Juventus;23;52;A;0;0;0;29;7,4;12;2;1;0
Castellanos;Lazio;23;64;Pc;3;8,67;2;31;6,32;4;3;2;0
Retegui;Atalanta;22;100;Pc;3;9,33;3;29;6,79;7;2;5;0
Kean;Fiorentina;21;60;Pc;3;7;1;NP;NP;NP;NP;NP;NP
De Ketelaere;Atalanta;20;70;A;2;6,25;0;33;7,39;10;8;1;0
Dallinga;Bologna;20;43;Pc;1;5,5;0;NP;NP;NP;NP;NP;NP
Soule';Roma;19;53;"W;A";3;5,67;0;36;7,07;11;2;4;0
Pinamonti;Genoa;18;50;Pc;2;7,5;1;37;6,7;11;1;4;0
Krstovic;Lecce;17;40;Pc;3;6,67;1;33;6,3;7;1;4;1
Belotti;Como;16;36;Pc;3;5,67;0;24;7,1;6;4;1;0
Dia;Lazio;16;35;Pc;2;8;1;17;6,53;4;0;1;0
Yildiz;Juventus;16;48;A;3;7,5;0;21;6,29;2;0;3;0
Sanchez;Udinese;15;33;A;0;0;0;19;6,76;2;5;0;0
Pohjanpalo;Venezia;15;37;Pc;1;5,5;0;NP;NP;NP;NP;NP;NP
Noslin;Lazio;15;35;A;2;6;0;17;7,41;5;4;2;0
Taremi;Inter;15;32;Pc;2;7;0;NP;NP;NP;NP;NP;NP
Adams C.;Torino;15;36;A;3;7,5;1;NP;NP;NP;NP;NP;NP
Piccoli;Cagliari;14;29;Pc;3;7;1;32;6,41;5;0;5;0
Lucca;Udinese;14;37;Pc;3;6,83;1;34;6,75;8;3;6;0
Abraham;Milan;13;14;Pc;1;7,5;0;NP;NP;NP;NP;NP;NP
Colombo;Empoli;13;29;Pc;3;7,33;1;NP;NP;NP;NP;NP;NP
Tengstedt;Verona;13;17;Pc;3;6,83;1;NP;NP;NP;NP;NP;NP
Luvumbo;Cagliari;12;20;A;3;5,83;0;30;6,75;4;5;5;0
Djuric;Monza;12;20;Pc;2;7,75;1;36;6,67;9;2;4;0
Vitinha O.;Genoa;12;38;Pc;3;6;0;6;7,33;2;0;2;0
Okafor;Milan;12;11;A;3;7;1;24;7,02;6;2;1;0
Isaksen;Lazio;12;15;"W;A";3;7,33;1;23;6,46;3;1;3;0
Milik;Juventus;11;9;Pc;0;0;0;24;6,46;4;1;2;1
Simeone;Napoli;11;7;Pc;3;6,67;1;NP;NP;NP;NP;NP;NP
Thauvin;Udinese;11;20;A;3;6,33;1;25;6,84;5;3;4;0
Cambiaghi;Bologna;11;10;A;1;6;0;37;6,2;1;1;3;0
Sanabria;Torino;10;10;Pc;2;6;0;35;6,24;5;0;2;0
Odgaard;Bologna;10;8;A;2;5,75;0;NP;NP;NP;NP;NP;NP
Raspadori;Napoli;10;11;A;3;5;0;33;6,44;5;3;0;0
Almqvist;Parma;10;10;"W;A";3;6,33;0;30;6,13;2;1;5;0
Beltran L.;Fiorentina;10;17;A;1;5;0;30;6,65;6;1;6;0
Mosquera;Verona;10;10;Pc;3;8,33;2;NP;NP;NP;NP;NP;NP
Bonny;Parma;10;25;Pc;3;8;1;NP;NP;NP;NP;NP;NP
Caprari;Monza;9;9;A;3;6;0;NP;NP;NP;NP;NP;NP
Cutrone;Como;9;12;Pc;3;5,67;1;NP;NP;NP;NP;NP;NP
Jovic;Milan;9;8;Pc;1;4,5;0;19;6,79;6;1;2;1
Ekuban;Genoa;9;5;A;2;5,75;0;23;6,65;4;1;0;0
Mota;Monza;9;11;A;2;5,5;0;33;6,41;4;3;3;0
Banda;Lecce;9;8;"W;A";3;5,67;0;NP;NP;NP;NP;NP;NP
Ngonge;Napoli;9;8;"W;A";1;6;0;28;6,86;7;2;6;0
Brenner;Udinese;9;16;A;3;7,33;1;NP;NP;NP;NP;NP;NP
Benedyczak;Parma;9;11;A;0;0;0;NP;NP;NP;NP;NP;NP
Lapadula;Cagliari;8;5;Pc;2;5,5;0;NP;NP;NP;NP;NP;NP
Arnautovic;Inter;8;8;Pc;1;6;0;24;6,9;5;3;0;0
Mihaila;Parma;8;11;"W;A";3;5,83;0;NP;NP;NP;NP;NP;NP
Castro S.;Bologna;8;27;Pc;3;5,83;0;NP;NP;NP;NP;NP;NP
Cancellieri;Parma;6;7;"W;A";3;7,17;1;34;6,31;4;2;7;0
Davis K.;Udinese;6;3;Pc;1;6;0;NP;NP;NP;NP;NP;NP
Esposito Se.;Empoli;5;8;A;3;6,17;0;NP;NP;NP;NP;NP;NP
Shomurodov;Roma;5;10;Pc;1;10;1;20;6,42;3;3;1;0
Gytkjaer;Venezia;5;5;Pc;3;5,5;0;NP;NP;NP;NP;NP;NP
Rocha Livramento;Verona;5;8;Pc;2;7,5;1;NP;NP;NP;NP;NP;NP
Mbangula;Juventus;5;9;A;3;8,33;1;NP;NP;NP;NP;NP;NP
Dominguez B.;Bologna;5;6;A;0;0;0;NP;NP;NP;NP;NP;NP
Rebic;Lecce;4;4;A;0;0;0;NP;NP;NP;NP;NP;NP
Petagna;Monza;4;5;Pc;3;5,17;0;NP;NP;NP;NP;NP;NP
Kouame';Fiorentina;4;7;A;3;5,5;0;20;6,3;2;1;0;0
Sarr A.;Verona;4;4;A;0;0;0;NP;NP;NP;NP;NP;NP
Pierotti;Lecce;4;2;"W;A";3;5,5;0;NP;NP;NP;NP;NP;NP
Bravo;Udinese;4;4;A;1;5,5;0;NP;NP;NP;NP;NP;NP
Pavoletti;Cagliari;3;3;Pc;1;6;0;NP;NP;NP;NP;NP;NP
Pellegri;Empoli;3;6;Pc;1;5,5;0;NP;NP;NP;NP;NP;NP
Solbakken;Empoli;3;8;A;3;5,67;0;NP;NP;NP;NP;NP;NP
Cerri;Como;2;1;Pc;2;5,25;0;NP;NP;NP;NP;NP;NP
Correa;Inter;2;4;A;0;0;0;0;0;0;0;0;0
Pedro;Lazio;2;3;A;0;0;0;NP;NP;NP;NP;NP;NP
Raimondo;Venezia;2;1;Pc;1;6;0;NP;NP;NP;NP;NP;NP
Pizarro;Udinese;2;4;Pc;0;0;0;NP;NP;NP;NP;NP;NP
Gabrielloni;Como;2;1;Pc;1;6;0;NP;NP;NP;NP;NP;NP
Charpentier;Parma;2;1;Pc;1;5,5;0;NP;NP;NP;NP;NP;NP
Karamoh;Torino;1;1;A;1;6;0;NP;NP;NP;NP;NP;NP
Ekong;Empoli;1;1;A;0;0;0;NP;NP;NP;NP;NP;NP
Burnete;Lecce;1;1;Pc;0;0;0;NP;NP;NP;NP;NP;NP
Cruz;Verona;1;1;Pc;0;0;0;NP;NP;NP;NP;NP;NP
Camarda;Milan;1;1;Pc;0;0;0;NP;NP;NP;NP;NP;NP
Ankeye;Genoa;1;1;Pc;0;0;0;NP;NP;NP;NP;NP;NP
Mutandwa;Cagliari;1;1;Pc;0;0;0;NP;NP;NP;NP;NP;NP
Jasim;Como;1;1;"W;A";0;0;0;NP;NP;NP;NP;NP;NP
Ekhator;Genoa;1;1;Pc;0;0;0;NP;NP;NP;NP;NP;NP
Kowalski;Parma;1;4;A;1;6;0;NP;NP;NP;NP;NP;NP